station_name,lat,lng
10101 S Stony Island Ave,41.709999084472656,-87.58000183105469
111th St - Morgan Park Metra,41.689998626708984,-87.66999816894531
2112 W Peterson Ave,41.99117660522461,-87.68359375
21st St & Pulaski Rd,41.85343933105469,-87.7248764038086
351,41.93000030517578,-87.77999877929688
410,41.900001525878906,-87.69000244140625
532 E 43rd St,41.81999969482422,-87.61000061035156
63rd & Western Ave - north corner,41.779998779296875,-87.68000030517578
63rd & Western Ave - south corner,41.779998779296875,-87.68000030517578
63rd St Beach,41.78091049194336,-87.57632446289062
900 W Harrison St,41.874755859375,-87.64981079101562
Abbott Park,41.720001220703125,-87.62000274658203
Aberdeen St & 103rd St,41.70703887939453,-87.65022277832031
Aberdeen St & Jackson Blvd,41.87772750854492,-87.65478515625
Aberdeen St & Monroe St,41.88042068481445,-87.655517578125
Aberdeen St & Randolph St,41.88411331176758,-87.65426635742188
Ada St & 113th Place,41.687591552734375,-87.65541076660156
Ada St & 113th St,41.68756103515625,-87.65547943115234
Ada St & 117th St,41.68000030517578,-87.66000366210938
Ada St & 79th St,41.75,-87.66000366210938
Ada St & 95th St,41.720001220703125,-87.66000366210938
Ada St & Washington Blvd,41.88283157348633,-87.66120910644531
Adler Planetarium,41.86609649658203,-87.60726928710938
Al Raby School,41.88999938964844,-87.72000122070312
Albany Ave & 103rd St,41.709999084472656,-87.69999694824219
Albany Ave & 111th St - NW,41.689998626708984,-87.69999694824219
Albany Ave & 16th St,41.86000061035156,-87.69999694824219
Albany Ave & 26th St,41.84447479248047,-87.70201110839844
Albany Ave & 63rd St,41.779998779296875,-87.69999694824219
Albany Ave & Belmont Ave,41.939998626708984,-87.70999908447266
Albany Ave & Bloomingdale Ave,41.91402816772461,-87.70512390136719
Albany Ave & Douglas Blvd,41.863162994384766,-87.70307922363281
Albany Ave & Montrose Ave,41.96104049682617,-87.70586395263672
Altgeld Gardens,41.65666580200195,-87.59880065917969
Archer (Damen) Ave & 37th St,41.82671356201172,-87.68314361572266
Archer Ave & 43rd St,41.81999969482422,-87.69999694824219
Archer Ave & 49th St,41.80419921875,-87.72081756591797
Archer Ave & Homan Ave,41.81153106689453,-87.70884704589844
Archer Park,41.79999923706055,-87.73999786376953
Artesian Ave & 55th St,41.79402160644531,-87.6857681274414
Artesian Ave & 71st St,41.76434326171875,-87.68441772460938
Artesian Ave & Hubbard St,41.88949966430664,-87.6882553100586
Artesian Ave & Marquette Rd,41.772029876708984,-87.68463897705078
Ashland Ave & 13th St,41.865234375,-87.66650390625
Ashland Ave & 45th St,41.810001373291016,-87.66999816894531
Ashland Ave & 45th St - midblock south,41.810001373291016,-87.66000366210938
Ashland Ave & 46th St,41.810001373291016,-87.66999816894531
Ashland Ave & 50th St,41.80302429199219,-87.6646957397461
Ashland Ave & 63rd St,41.77937316894531,-87.66484069824219
Ashland Ave & 66th St,41.77407455444336,-87.663818359375
Ashland Ave & 69th St,41.76872634887695,-87.66407012939453
Ashland Ave & 71st St,41.77000045776367,-87.66000366210938
Ashland Ave & 73rd St,41.761226654052734,-87.66336059570312
Ashland Ave & 74th St,41.75923538208008,-87.6634750366211
Ashland Ave & 78th St,41.75220489501953,-87.6636962890625
Ashland Ave & Archer Ave,41.839210510253906,-87.66561126708984
